created at;id;author;title;description;merge status;state;source branch;target branch;references;should remove source branch;merge when pipeline succeeds;has conflicts;diverged commits count;approvals before merge;allow collaboration;approvals required;reviewers;upvotes;downvotes;user notes count;approvals left;participants;approved by;blocking discussions resolved;updated at;merged by;closed at;closed by
Thu Jul 07 12:34:23 MSK 2022;673;iOS Junior (left);MMMigration MMMain;mmmain;can_be_merged;merged;MigrationMain;dev;!58;true;false;false;null;null;null;null;;0;0;21;null;Team Lead,iOS Lead,iOS Middle,iOS Junior (left),;;true;Mon Jul 18 17:12:04 MSK 2022;iOS Junior (left);null;
Fri Jul 01 13:52:43 MSK 2022;663;iOS Junior (left);free room&reservation filter modal menu update;free room&reservation filter modal menu update;can_be_merged;merged;TestBranch;dev;!57;null;false;false;null;null;null;null;;0;0;1;null;Team Lead,iOS Lead,iOS Junior (left),;;true;Mon Jul 04 18:21:12 MSK 2022;iOS Junior (left);null;
Sat May 21 00:41:29 MSK 2022;638;iOS Middle (left);Нативная авторизация;Сделал нативную авторизацию, посмотрите что как;cannot_be_merged;merged;feature/native-authorization;dev;!56;null;false;true;null;null;null;null;iOS Middle;0;0;0;null;iOS Middle,Team Lead,iOS Middle (left),;;true;Tue Jun 28 13:38:58 MSK 2022;iOS Lead;null;
Thu Nov 18 01:33:59 MSK 2021;479;iOS Middle;Minor improvements in notifications logic;;can_be_merged;merged;dstimkin/HSEAppX/notifications_WIP;dev;!55;null;false;false;null;null;null;null;;0;0;0;null;iOS Middle,;;true;Thu Nov 18 13:06:40 MSK 2021;iOS Middle;null;
Tue Nov 16 23:13:51 MSK 2021;477;iOS Middle;Updates in notifications;;can_be_merged;merged;dstimkin/HSEAppX/updates_in_notifications;dev;!54;null;false;false;null;null;null;null;;0;0;23;null;iOS Lead,iOS Middle,;;true;Wed Nov 17 20:12:58 MSK 2021;iOS Lead;null;
Mon Nov 08 14:19:07 MSK 2021;463;iOS Middle;New profile design;;can_be_merged;merged;dstimkin/HSEAppX/new_profile_design;dev;!53;null;false;false;null;null;null;null;;0;0;0;null;iOS Middle,iOS Lead,;;true;Tue Nov 09 14:31:49 MSK 2021;iOS Middle;null;
Mon Nov 01 20:24:00 MSK 2021;459;Team Lead;Change Firebase from pods to SPM;;can_be_merged;merged;firebase_spm;dev;!52;null;false;false;null;null;null;null;;0;0;0;null;Team Lead,;;true;Mon Nov 01 20:25:00 MSK 2021;Team Lead;null;
Mon Nov 01 15:23:58 MSK 2021;457;iOS Middle;[IOS.HSEAppX] Add only .pdf file upload support in projects;;can_be_merged;merged;dstimkin/HSEAppX/only_pdf_support_in_projects;dev;!51;null;false;false;null;null;null;null;;0;0;0;null;iOS Middle,Team Lead,;;true;Mon Nov 01 17:17:23 MSK 2021;Team Lead;null;
Wed Oct 27 19:47:29 MSK 2021;449;iOS Middle;Hide overflow subtitle feature;;can_be_merged;merged;dstimkin/HSEAppX/hide_overflow_subtitle;dev;!50;null;false;false;null;null;null;null;;0;0;0;null;iOS Middle,iOS Lead,Team Lead,;;true;Wed Mar 09 14:32:17 MSK 2022;iOS Middle;null;
Mon Oct 18 11:37:59 MSK 2021;436;iOS Middle;[IOS.HSEAppX] Added new banners;Добавил три типа баннеров: с маленькой картинкой сверху слева, с большой картинкой снизу справа, без картинки. Выбор типа баннера происходит через enum ImageType. Применение типа баннера происходит не в commonInit(), а в функции apply, которая вызывается из BannerViewModel. Я пока не разобрался как у нас работает переиспользование ячеек, в этом месте могут быть проблемы, гляньте пожалуйста.  Проверял на ipod touch и iphone 13, covid-банееры и баннер в проектах работают исправно.  Инициализатор через BannerModel для BannerViewModel будет в следующих сериях.;can_be_merged;merged;dstimkin/HSEAppX/added_new_banners;dev;!49;null;false;false;null;null;null;null;;0;0;6;null;iOS Middle,iOS Lead,iOS Middle (left),;;true;Tue Oct 19 20:20:55 MSK 2021;iOS Middle;null;
Tue Oct 05 18:00:27 MSK 2021;426;iOS Lead;Feature/no pods;удалил боды файрбейз и установил их через SPM;cannot_be_merged_recheck;closed;feature/noPods;dev;!48;null;false;false;null;null;null;null;;0;0;0;null;iOS Lead,;;true;Thu Dec 02 11:16:24 MSK 2021;;Thu Dec 02 11:16:24 MSK 2021;Team Lead
Tue Sep 07 20:35:59 MSK 2021;403;iOS Lead;moved hseui to SPM;moved HSEUI to SPM;can_be_merged;merged;feature/hseuiSPM;dev;!47;null;false;false;null;null;null;null;;0;0;0;null;iOS Lead,;;true;Wed Sep 15 17:40:25 MSK 2021;iOS Lead;null;
Fri Sep 03 15:32:13 MSK 2021;396;Team Lead;Поддержка VoiceOver;;can_be_merged;merged;feature/VoiceOver;dev;!46;null;false;false;null;null;null;null;;0;0;0;null;Team Lead,;;true;Fri Sep 03 15:40:19 MSK 2021;Team Lead;null;
Sat Aug 28 19:10:03 MSK 2021;389;Team Lead;Заменил тип параметров ссылок с String на URL;Для того, чтобы лишний раз не кастовать ссылку из String в URL заменил во всех моделях сам параметр на URL. Он Сodable, поэтому все хорошо.  Заодно и поменял функции открытия WebView и браузера, чтобы они принимали сразу URL;can_be_merged;merged;change_string_to_url;dev;!45;null;false;false;null;null;null;null;iOS Middle (left);0;0;2;null;iOS Middle (left),iOS Lead,Team Lead,;;true;Mon Aug 30 17:25:08 MSK 2021;Team Lead;null;
Mon Jul 26 01:12:28 MSK 2021;339;iOS Middle;[IOS.HSEAppX] Reservations bug fix;Забыл громко прокричать перед проверкой на пустой массив);can_be_merged;merged;hseappx/dstimkin/reservations_bug_fix;dev;!44;null;false;false;null;null;null;null;iOS Middle (left);0;0;1;null;iOS Middle (left),iOS Middle,;;true;Mon Jul 26 11:59:33 MSK 2021;iOS Middle (left);null;
Sat Jul 24 19:56:20 MSK 2021;338;iOS Middle;[IOS.HSEAppX] Refactored GradesService and ReservationsService;Наследовал GradesService и ReservationsService от RequestService, немного их причесал.  Начал выносить API сервисов в приватные экстеншены в файлы, где описаны сервисы. Это позволит избежать излишне длинного класса API, инкапсулировать API в сервисе и улучшит удобство работы с API в целом;can_be_merged;merged;hseappx/dstimkin/refactored_GradesService_and_ReservationsService;dev;!43;null;false;false;null;null;null;null;iOS Middle (left);0;0;1;null;iOS Middle (left),iOS Middle,;;true;Sun Jul 25 18:04:28 MSK 2021;iOS Middle (left);null;
Wed Jul 21 14:40:24 MSK 2021;332;iOS Middle;[IOS.HSEAppX] Added page support for pfservice;Разбил PFService на три класса: AllPFProjectsService, RecommendedPFProjectsService, FavouritePFProjectsService. Каждый наследник PagingService. PFService пока еще жив, ждем поддержки пейджев на беке, как будет готово, окончательно его выпилим.;cannot_be_merged;closed;hseappx/dstimkin/added_page_support_for_pfservice;dev;!42;null;false;true;null;null;null;null;iOS Middle (left);0;0;1;null;iOS Middle (left),Team Lead,iOS Middle,;;true;Wed Jan 12 19:44:07 MSK 2022;;Wed Jan 12 19:44:07 MSK 2022;Team Lead
Fri Jul 16 16:18:43 MSK 2021;321;iOS Middle;[IOS.HSEAppX] CVService refactoring;Наследовал CVService от RequestService  Расставил марков и вот этого вот всего;can_be_merged;merged;hseappx/dstimkin/CVService_refactoring;dev;!41;null;false;false;null;null;null;null;iOS Middle (left);0;0;0;null;iOS Middle (left),iOS Middle,;;true;Sun Jul 18 21:47:16 MSK 2021;iOS Middle (left);null;
Thu Jul 15 11:43:02 MSK 2021;320;Team Lead;OAMOB-105 - тестируем интеграцию в названии МРа;;can_be_merged;closed;HSEAPP-1042_test_in_branch_name;dev;!40;null;false;false;null;null;null;null;;0;0;0;null;Team Lead,;;true;Thu Jul 15 11:43:19 MSK 2021;;Thu Jul 15 11:43:19 MSK 2021;Team Lead
Fri Jul 09 14:35:42 MSK 2021;314;iOS Middle;[IOS.HSEAppX] Navigator refactoring;Прибрался в навигаторе, наладил его структуру, поработал над читаемостью и удалил ненужные методы. Кроме того прокачал несколько конструкторов вью контроллеров, чтобы удобнее было;can_be_merged;merged;hseappx/dstimkin/refactor_navigator;dev;!39;null;false;false;null;null;null;null;iOS Middle (left);0;0;1;null;iOS Middle (left),iOS Middle,;;true;Fri Jul 09 15:10:43 MSK 2021;iOS Middle (left);null;
